plot,rep,trtname,trtnum,nrate_kgha,krate_kgha
101,1,0+30,2,0,30
102,1,100+30,5,100,30
103,1,200+30,8,200,30
104,1,0+0,1,0,0
105,1,200+0,7,200,0
106,1,100+60,6,100,60
107,1,200+60,9,200,60
108,1,0+60,3,0,60
109,1,100+0,4,100,0
201,2,100+60,6,100,60
202,2,0+60,3,0,60
203,2,200+60,9,200,60
204,2,100+0,4,100,0
205,2,0+30,2,0,30
206,2,200+0,7,200,0
207,2,100+30,5,100,30
208,2,0+0,1,0,0
209,2,200+30,8,200,30
301,3,200+60,9,200,60
302,3,0+0,1,0,0
303,3,200+0,7,200,0
304,3,200+30,8,200,30
305,3,0+60,3,0,60
306,3,100+30,5,100,30
307,3,100+0,4,100,0
308,3,0+30,2,0,30
309,3,100+60,6,100,60
401,4,0+60,3,0,60
402,4,200+0,7,200,0
403,4,200+30,8,200,30
404,4,100+60,6,100,60
405,4,200+60,9,200,60
406,4,0+30,2,0,30
407,4,100+30,5,100,30
408,4,0+0,1,0,0
409,4,100+0,4,100,0
